,chunk,source_paragraph,page,pdf_link,embedded
114,"[I–5] KAMBOJ, S., YU, C., RABOVSKY, J., Potential Dose Distributions at Proposed Surface Radioactivity Clearance Levels Resulting from Occupational Scenarios, Rep. ANL/EVS/TM/11‑3, Argonne National Laboratory, IL (2011). [I–6] JAPANESE STANDARDIZATION COMMITTEE ON RADIATION PROTECTION, Summary of the three guidelines for moving out of commodities with radioactive contamination in planned, emergency and existing exposure situations, Jpn. J. Health Phys. 52 (2017) 311. [I–7] MUNAKATA, M., Applicable limits on non‑fixed surface contamination for safe transport of radioactive materials, Packag. Transp. Storage Secur. Radioact. Mater. 24 (2013) 191. [I–8] OGINO, H., HATTORI, T., Calculation of isotope‑specific exemption levels for surface contamination, Appl. Radiat. Isot. 67 (2009) 1282. [I–9] NUCLEAR INDUSTRY SAFETY DIRECTORS’ FORUM, The UK Nuclear Industry Good Practice Guide to: Clearance and Radiological Sentencing: Principles, Process and Practices, Version 2.01, SDF, London (2017). [I–10] VAN DILLEN, T., SUDOQU: A new dose model to derive criteria for surface contamination of non‑food (consumer) goods, containers and conveyances, Radiat. Prot. Dosim. 164 1–2 (2015) 160. [I–11] RUSSO, F., MOMMAERT, C., VAN DILLEN, T., Clearance of surface‑contaminated objects from the controlled area of a nuclear facility: Application of the SUDOQU methodology, Atw. Int. Z. Kernenergie 63 1 (2018). [I–12] EUROPEAN COMMISSION, Methodology and Models Used to Calculate Individual and Collective Doses from the Recycling of Metals from the Dismantling of Nuclear Installations, Radiation Protection 117, Office for Official Publications of the European Communities, Luxemburg (2000). [I–13] EUROPEAN COMMISSION, FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS, INTERNATIONAL ATOMIC ENERGY AGENCY, INTERNATIONAL LABOUR ORGANIZATION, OECD NUCLEAR ENERGY AGENCY, PAN AMERICAN HEALTH ORGANIZATION, UNITED NATIONS ENVIRONMENT PROGRAMME, WORLD HEALTH ORGANIZATION, Radiation Protection and Safety of Radiation Sources: International Basic Safety Standards, IAEA Safety Standards Series No. GSR Part 3, IAEA, Vienna (2014). [I–14] JAPANESE STANDARDS ASSOCIATION, Evaluation of Surface Contamination – Beta‑Emitters (Maximum Beta Energy Greater than 0.15 MeV) and Alpha‑Emitters, JIS Z 4504‑2002 (R 2012), JSA, Tokyo (2008). [I–15] FEDERAL AGENCY FOR NUCLEAR CONTROL, Technical regulation of the Federal Agency for Nuclear Control setting surface clearance levels for buildings, for certain materials and for materials from specific practices, FANC, Brussels (2021) (in French and Dutch). 79","[I–5] KAMBOJ, S., YU, C., RABOVSKY, J., Potential Dose Distributions at Proposed Surface Radioactivity Clearance Levels Resulting from Occupational Scenarios, Rep. ANL/EVS/TM/11‑3, Argonne National Laboratory, IL (2011). [I–6] JAPANESE STANDARDIZATION COMMITTEE ON RADIATION PROTECTION, Summary of the three guidelines for moving out of commodities with radioactive contamination in planned, emergency and existing exposure situations, Jpn. J. Health Phys. 52 (2017) 311. [I–7] MUNAKATA, M., Applicable limits on non‑fixed surface contamination for safe transport of radioactive materials, Packag. Transp. Storage Secur. Radioact. Mater. 24 (2013) 191. [I–8] OGINO, H., HATTORI, T., Calculation of isotope‑specific exemption levels for surface contamination, Appl. Radiat. Isot. 67 (2009) 1282. [I–9] NUCLEAR INDUSTRY SAFETY DIRECTORS’ FORUM, The UK Nuclear Industry Good Practice Guide to: Clearance and Radiological Sentencing: Principles, Process and Practices, Version 2.01, SDF, London (2017). [I–10] VAN DILLEN, T., SUDOQU: A new dose model to derive criteria for surface contamination of non‑food (consumer) goods, containers and conveyances, Radiat. Prot. Dosim. 164 1–2 (2015) 160. [I–11] RUSSO, F., MOMMAERT, C., VAN DILLEN, T., Clearance of surface‑contaminated objects from the controlled area of a nuclear facility: Application of the SUDOQU methodology, Atw. Int. Z. Kernenergie 63 1 (2018). [I–12] EUROPEAN COMMISSION, Methodology and Models Used to Calculate Individual and Collective Doses from the Recycling of Metals from the Dismantling of Nuclear Installations, Radiation Protection 117, Office for Official Publications of the European Communities, Luxemburg (2000). [I–13] EUROPEAN COMMISSION, FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS, INTERNATIONAL ATOMIC ENERGY AGENCY, INTERNATIONAL LABOUR ORGANIZATION, OECD NUCLEAR ENERGY AGENCY, PAN AMERICAN HEALTH ORGANIZATION, UNITED NATIONS ENVIRONMENT PROGRAMME, WORLD HEALTH ORGANIZATION, Radiation Protection and Safety of Radiation Sources: International Basic Safety Standards, IAEA Safety Standards Series No. GSR Part 3, IAEA, Vienna (2014). [I–14] JAPANESE STANDARDS ASSOCIATION, Evaluation of Surface Contamination – Beta‑Emitters (Maximum Beta Energy Greater than 0.15 MeV) and Alpha‑Emitters, JIS Z 4504‑2002 (R 2012), JSA, Tokyo (2008). [I–15] FEDERAL AGENCY FOR NUCLEAR CONTROL, Technical regulation of the Federal Agency for Nuclear Control setting surface clearance levels for buildings, for certain materials and for materials from specific practices, FANC, Brussels (2021) (in French and Dutch). 79",97,file:///private/var/folders/1y/lclhr1bn1_b78zjjhqs572mc0000gn/T/gradio/200a7b0092a9b8794864bb354529c4757d299729811eaa5dfc1d84ab62525afa/PUB2058_web_gsg_18.pdf#page=97,[0. 0. 0. ... 0. 0. 0.]
115,Annex II,Annex II,98,file:///private/var/folders/1y/lclhr1bn1_b78zjjhqs572mc0000gn/T/gradio/200a7b0092a9b8794864bb354529c4757d299729811eaa5dfc1d84ab62525afa/PUB2058_web_gsg_18.pdf#page=98,[0. 0. 0. ... 0. 0. 0.]
116,"EXAMPLES OF SURFACE CONTAMINATION VALUES FOR GENERIC CLEARANCE II–1. IAEA Safety Standards Series No. GSR Part 3, Radiation Protection and Safety of Radiation Sources: International Basic Safety Standards [II–1], does not specify values for clearance levels in terms of surface contamination; however, there are a number of international and national recommendations and guidelines containing such levels. This annex provides a short overview of selected recommendations and studies in which surface contamination clearance levels have been derived. Examples of the derived values (in Bq/cm2) for a small selection of radionuclides are presented in Table II–1. II–2. This annex is limited to examples of surface contamination clearance levels intended for use in generic clearance. Models aimed at providing surface contamination clearance levels for specific clearance contain too many differences in terms of assumptions, exposure scenarios and parameter values to enable a meaningful comparison of the derived clearance levels. II–3. IAEA Safety Standards Series No. SSR‑6 (Rev. 1), Regulations for the Safe Transport of Radioactive Material, 2018 Edition [II–2], is also considered. These regulations do not contain clearance levels, but they do contain surface contamination values, which have been frequently misused as clearance levels. EUROPEAN COMMISSION II–4. Surface contamination clearance levels have been derived for metals arising from the dismantling of nuclear installations and intended for recycling or reuse [II–3, II–4]. As described in Annex I to this Safety Guide, deterministic scenarios were used to calculate radionuclide specific results in terms of μSv per year for a unit surface contamination level of 1 Bq/cm2. The surface contamination level for each scenario that would lead to a dose of 10 μSv per year was then derived. The smallest derived value was then used as the surface contamination clearance level for each radionuclide. In most cases, this value is based on the reuse scenario. 80","EXAMPLES OF SURFACE CONTAMINATION VALUES FOR GENERIC CLEARANCE II–1.  IAEA Safety Standards Series No.  GSR  Part  3, Radiation Protection and Safety of Radiation Sources: International Basic Safety Standards [II–1], does not specify values for clearance levels in terms of surface contamination; however, there are a number of international and national recommendations and guidelines containing such levels. This annex provides a short overview of selected recommendations and studies in which surface contamination clearance levels have been derived. Examples of the derived values (in Bq/cm2) for a small selection of radionuclides are presented in Table II–1. II–2.  This annex is limited to examples of surface contamination clearance levels intended for use in generic clearance. Models aimed at providing surface contamination clearance levels for specific clearance contain too many differences in terms of assumptions, exposure scenarios and parameter values to enable a meaningful comparison of the derived clearance levels. II–3.  IAEA Safety Standards Series No. SSR‑6 (Rev. 1), Regulations for the Safe Transport of Radioactive Material, 2018 Edition [II–2], is also considered. These regulations do not contain clearance levels, but they do contain surface contamination values, which have been frequently misused as clearance levels. EUROPEAN COMMISSION II–4.  Surface contamination clearance levels have been derived for metals arising from the dismantling of nuclear installations and intended for recycling or reuse [II–3, II–4]. As described in Annex I to this Safety Guide, deterministic scenarios were used to calculate radionuclide specific results in terms of μSv per year for a unit surface contamination level of 1 Bq/cm2. The surface contamination level for each scenario that would lead to a dose of 10 μSv per year was then derived. The smallest derived value was then used as the surface contamination clearance level for each radionuclide. In most cases, this value is based on the reuse scenario. 80",98,file:///private/var/folders/1y/lclhr1bn1_b78zjjhqs572mc0000gn/T/gradio/200a7b0092a9b8794864bb354529c4757d299729811eaa5dfc1d84ab62525afa/PUB2058_web_gsg_18.pdf#page=98,[0. 0. 0. ... 0. 0. 0.]
117,"GERMANY II–5. Reference [II–5] describes a study conducted in the course of the preparation of the German Radiation Protection Ordinance in 1998 and 1999. Much of this work was performed in parallel to work undertaken by the European Commission described in para. II–4. The main aim of the study described in Ref. [II–5] was to derive a single set of surface contamination clearance levels for both reuse and recycling. This makes these clearance levels applicable also for generic clearance. UNITED STATES OF AMERICA II–6. Reference [II–6] describes a comprehensive study on clearance of scrap metal in the United States of America, in which activity concentration clearance levels and surface contamination clearance levels were derived. Reference [II–6] provides a description of the calculations and the estimated annual doses to an individual following the clearance of scrap iron and steel, copper, aluminium, and concrete rubble from licensed nuclear installations. The estimated doses are calculated probabilistically to take into account a large number of possible variations in each of 86 exposure scenarios. These scenarios encompass the full range of realistic situations likely to yield the highest doses. Each scenario was analysed with the 115 radionuclides considered most likely to be associated with materials from licensed nuclear installations. The aim of the analyses was to realistically model current processes, to identify critical groups on a radionuclide by radionuclide basis, and to enable the conversion of a dose criterion into clearance levels in terms of activity concentration or surface contamination. COMPARISON OF DERIVED VALUES OF SURFACE CONTAMINATION FOR GENERIC CLEARANCE II–7. A selection of surface contamination clearance levels from the studies and recommendations described in paras II–4 to II–6 are presented in Table II–1. Table II–1 contains only clearance levels that can be reasonably associated with generic clearance (i.e. they are not specific to buildings or land). All the clearance levels in Table II–1 were derived on the basis of an individual effective dose of 10 µSv in a year. II–8. Table II–1 shows that for strong gamma emitters (e.g. 60Co, 137Cs, 154Eu) and for alpha emitters (e.g. 242Pu, 241Am), there is generally good agreement 81","GERMANY II–5.  Reference [II–5] describes a study conducted in the course of the preparation of the German Radiation Protection Ordinance in 1998 and 1999. Much of this work was performed in parallel to work undertaken by the European Commission described in para.  II–4. The main aim of the study described in Ref. [II–5] was to derive a single set of surface contamination clearance levels for both reuse and recycling. This makes these clearance levels applicable also for generic clearance. UNITED STATES OF AMERICA II–6.  Reference [II–6] describes a comprehensive study on clearance of scrap metal in the United States of America, in which activity concentration clearance levels and surface contamination clearance levels were derived. Reference [II–6] provides a description of the calculations and the estimated annual doses to an individual following the clearance of scrap iron and steel, copper, aluminium, and concrete rubble from licensed nuclear installations. The estimated doses are calculated probabilistically to take into account a large number of possible variations in each of 86 exposure scenarios. These scenarios encompass the full range of realistic situations likely to yield the highest doses. Each scenario was analysed with the 115 radionuclides considered most likely to be associated with materials from licensed nuclear installations. The aim of the analyses was to realistically model current processes, to identify critical groups on a radionuclide by radionuclide basis, and to enable the conversion of a dose criterion into clearance levels in terms of activity concentration or surface contamination. COMPARISON OF DERIVED VALUES OF SURFACE CONTAMINATION FOR GENERIC CLEARANCE II–7.  A selection of surface contamination clearance levels from the studies and recommendations described in paras II–4 to II–6 are presented in Table II–1. Table II–1 contains only clearance levels that can be reasonably associated with generic clearance (i.e. they are not specific to buildings or land). All the clearance levels in Table II–1 were derived on the basis of an individual effective dose of 10 µSv in a year. II–8.  Table II–1 shows that for strong gamma emitters (e.g. 60Co, 137Cs, 154Eu) and for alpha emitters (e.g. 242Pu, 241Am), there is generally good agreement 81",99,file:///private/var/folders/1y/lclhr1bn1_b78zjjhqs572mc0000gn/T/gradio/200a7b0092a9b8794864bb354529c4757d299729811eaa5dfc1d84ab62525afa/PUB2058_web_gsg_18.pdf#page=99,[0. 0. 0. ... 0. 0. 0.]
118,"between the surface contamination clearance levels derived by the different models, indicating that the models for external irradiation (gamma emitters) and for inhalation of resuspended surface contamination (alpha emitters) are based on similar assumptions. The agreement between the clearance levels for strong beta emitters (e.g. 90Sr) can also be considered to be fairly good, indicating that ingestion pathways (direct and secondary ingestion) are generally based on similar assumptions. The surface contamination clearance levels for weak beta emitters and electron capture emitters (e.g. 3H, 14C, 36Cl, 55Fe) differ more, indicating that the scenarios underlying the derivation of these values are significantly different 82 TABLE II–1. COMPARISON OF SURFACE CONTAMINATION CLEARANCE LEVELS FOR GENERIC CLEARANCE Radionuclide European Commission [II–3, II–4] (Bq/cm2) Germany [II–5] (Bq/cm2) United States of America [II–6]a (Bq/cm2) Unrounded Rounded Rounded Mean 95th percentile H-3 25 000 10 000 100 1500 700 C-14 770 1000 100 1600 1100 Cl-36 130 100 100 29 7 Fe-55 1500 1000 100 110 000 30 000 Co-60 1 1 1 1 0.3 Sr-90 8.5 10 1 83 34 Cs-137 3.7 10 1 3.1 1.0 Eu-154 1.8 1 1 2.3 0.6 U-234 0.49 1 1 3.7 1.2 Pu-242 0.11 0.1 0.1 1.6 0.5 Am-241 0.12 0.1 0.1 1.1 0.3 a Reference [II–6] was only released in draft form and has never been incorporated into the official US policy on clearance.","between the surface contamination clearance levels derived by the different models, indicating that the models for external irradiation (gamma emitters) and for inhalation of resuspended surface contamination (alpha emitters) are based on similar assumptions. The agreement between the clearance levels for strong beta emitters (e.g. 90Sr) can also be considered to be fairly good, indicating that ingestion pathways (direct and secondary ingestion) are generally based on similar assumptions. The surface contamination clearance levels for weak beta emitters and electron capture emitters (e.g. 3H, 14C, 36Cl, 55Fe) differ more, indicating that the scenarios underlying the derivation of these values are significantly different 82 TABLE II–1. COMPARISON OF SURFACE CONTAMINATION CLEARANCE LEVELS FOR GENERIC CLEARANCE Radionuclide European Commission [II–3, II–4] (Bq/cm2) Germany [II–5] (Bq/cm2) United States of America [II–6]a (Bq/cm2) Unrounded Rounded Rounded Mean 95th percentile H-3 25 000 10 000 100 1500 700 C-14 770 1000 100 1600 1100 Cl-36 130 100 100 29 7 Fe-55 1500 1000 100 110 000 30 000 Co-60 1 1 1 1 0.3 Sr-90 8.5 10 1 83 34 Cs-137 3.7 10 1 3.1 1.0 Eu-154 1.8 1 1 2.3 0.6 U-234 0.49 1 1 3.7 1.2 Pu-242 0.11 0.1 0.1 1.6 0.5 Am-241 0.12 0.1 0.1 1.1 0.3 a Reference [II–6] was only released in draft form and has never been incorporated into the official US policy on clearance.",100,file:///private/var/folders/1y/lclhr1bn1_b78zjjhqs572mc0000gn/T/gradio/200a7b0092a9b8794864bb354529c4757d299729811eaa5dfc1d84ab62525afa/PUB2058_web_gsg_18.pdf#page=100,[0. 0. 0. ... 0. 0. 0.]
119,"with respect to assumptions about secondary ingestion and skin contamination. This is an area for further work on harmonization of approaches and surface contamination clearance levels used internationally. THE APPLICATION OF VALUES FOR SURFACE CONTAMINATION IN THE IAEA REGULATIONS FOR THE SAFE TRANSPORT OF RADIOACTIVE MATERIAL II–9. SSR‑6 (Rev. 1) [II–2] specifies surface contamination values of 0.4 Bq/cm2 for beta and gamma emitters and low toxicity alpha emitters and of 0.04 Bq/cm2 for all other alpha emitters in the definition of contamination (for fixed and non‑fixed contamination). It also specifies values of 4 Bq/cm2 and 0.4 Bq/cm2, respectively, for the limit of surface contaminated objects (SCO‑I) and surface contamination on packages and conveyances, relating to non‑fixed contamination only. These limits are applicable when averaged over an area of 300 cm2 on any part of the surface. II–10. The values for surface contamination specified in SSR‑6 (Rev. 1) [II–2] were originally derived using a very simple model [II–7]. A review of this model, together with the proposal of new modelling approaches for limiting the surface contamination on packages and conveyances, is presented in Ref. [II–8], from which it is clear that the values of surface contamination specified in SSR‑6 (Rev. 1) [II–2] are not applicable to clearance. REFERENCES TO ANNEX II [II–1] EUROPEAN COMMISSION, FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS, INTERNATIONAL ATOMIC ENERGY AGENCY, INTERNATIONAL LABOUR ORGANIZATION, OECD NUCLEAR ENERGY AGENCY, PAN AMERICAN HEALTH ORGANIZATION, UNITED NATIONS ENVIRONMENT PROGRAMME, WORLD HEALTH ORGANIZATION, Radiation Protection and Safety of Radiation Sources: International Basic Safety Standards, IAEA Safety Standards Series No. GSR Part 3, IAEA, Vienna (2014). [II–2] INTERNATIONAL ATOMIC ENERGY AGENCY, Regulations for the Safe Transport of Radioactive Material, 2018 Edition, IAEA Safety Standards Series No. SSR‑6 (Rev. 1), IAEA, Vienna (2018). [II–3] EUROPEAN COMMISSION, Basis for the Definition of Surface Contamination Clearance Levels for the Recycling or Reuse of Metals Arising from the Dismantling of Nuclear Installations, Radiation Protection 101, Office for Official Publications of the European Communities, Luxemburg (1999). 83","with respect to assumptions about secondary ingestion and skin contamination. This is an area for further work on harmonization of approaches and surface contamination clearance levels used internationally. THE APPLICATION OF VALUES FOR SURFACE CONTAMINATION IN THE IAEA REGULATIONS FOR THE SAFE TRANSPORT OF RADIOACTIVE MATERIAL II–9.  SSR‑6 (Rev.  1) [II–2] specifies surface contamination values of 0.4 Bq/cm2 for beta and gamma emitters and low toxicity alpha emitters and of 0.04 Bq/cm2 for all other alpha emitters in the definition of contamination (for fixed and non‑fixed contamination). It also specifies values of 4  Bq/cm2 and 0.4 Bq/cm2, respectively, for the limit of surface contaminated objects (SCO‑I) and surface contamination on packages and conveyances, relating to non‑fixed contamination only. These limits are applicable when averaged over an area of 300 cm2 on any part of the surface. II–10.  The values for surface contamination specified in SSR‑6 (Rev. 1) [II–2] were originally derived using a very simple model [II–7]. A review of this model, together with the proposal of new modelling approaches for limiting the surface contamination on packages and conveyances, is presented in Ref. [II–8], from which it is clear that the values of surface contamination specified in SSR‑6 (Rev. 1) [II–2] are not applicable to clearance. REFERENCES TO ANNEX II [II–1] EUROPEAN COMMISSION, FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS, INTERNATIONAL ATOMIC ENERGY AGENCY, INTERNATIONAL LABOUR ORGANIZATION, OECD NUCLEAR ENERGY AGENCY, PAN AMERICAN HEALTH ORGANIZATION, UNITED NATIONS ENVIRONMENT PROGRAMME, WORLD HEALTH ORGANIZATION, Radiation Protection and Safety of Radiation Sources: International Basic Safety Standards, IAEA Safety Standards Series No. GSR Part 3, IAEA, Vienna (2014). [II–2] INTERNATIONAL ATOMIC ENERGY AGENCY, Regulations for the Safe Transport of Radioactive Material, 2018 Edition, IAEA Safety Standards Series No. SSR‑6 (Rev. 1), IAEA, Vienna (2018). [II–3] EUROPEAN COMMISSION, Basis for the Definition of Surface Contamination Clearance Levels for the Recycling or Reuse of Metals Arising from the Dismantling of Nuclear Installations, Radiation Protection 101, Office for Official Publications of the European Communities, Luxemburg (1999). 83",101,file:///private/var/folders/1y/lclhr1bn1_b78zjjhqs572mc0000gn/T/gradio/200a7b0092a9b8794864bb354529c4757d299729811eaa5dfc1d84ab62525afa/PUB2058_web_gsg_18.pdf#page=101,[0. 0. 0. ... 0. 0. 0.]
120,"[II–4] EUROPEAN COMMISSION, Recommended Radiological Protection Criteria for the Recycling of Metals from the Dismantling of Nuclear Installations, Radiation Protection 89, Office for Official Publications of the European Communities, Luxemburg (1998). [II–5] DECKERT, A., THIERFELDT, S., Radiologische Bewertung einer Kontamination: Entscheidungshilfe zur Festlegung von flächenbezogenen Freigabewerten, Endbericht zu Vorhaben St.Sch. 4149 des BMU, Brenk Systemplanung (1999). [II–6] NUCLEAR REGULATORY COMMISSION, Radiological Assessments for Clearance of Materials from Nuclear Facilities, Rep. NUREG‑1640, Office of Nuclear Regulatory Research, Washington, DC (2003). [II–7] FAIRBAIRN, A., “The derivation of maximum permissible levels of radioactive surface contamination of transport containers and vehicles”, Regulations for the Safe Transport of Radioactive Materials: Notes on Certain Aspects of the Regulations, Safety Series No. 7, IAEA, Vienna (1961) 79. [II–8] INTERNATIONAL ATOMIC ENERGY AGENCY, Radiological Aspects of Non‑Fixed Contamination of Packages and Conveyances, IAEA‑TECDOC‑1449, IAEA, Vienna (2005). 84","[II–4] EUROPEAN COMMISSION, Recommended Radiological Protection Criteria for the Recycling of Metals from the Dismantling of Nuclear Installations, Radiation Protection 89, Office for Official Publications of the European Communities, Luxemburg (1998). [II–5] DECKERT, A., THIERFELDT, S., Radiologische Bewertung einer Kontamination: Entscheidungshilfe zur Festlegung von flächenbezogenen Freigabewerten, Endbericht zu Vorhaben St.Sch. 4149 des BMU, Brenk Systemplanung (1999). [II–6] NUCLEAR REGULATORY COMMISSION, Radiological Assessments for Clearance of Materials from Nuclear Facilities, Rep. NUREG‑1640, Office of Nuclear Regulatory Research, Washington, DC (2003). [II–7] FAIRBAIRN, A., “The derivation of maximum permissible levels of radioactive surface contamination of transport containers and vehicles”, Regulations for the Safe Transport of Radioactive Materials: Notes on Certain Aspects of the Regulations, Safety Series No. 7, IAEA, Vienna (1961) 79. [II–8] INTERNATIONAL ATOMIC ENERGY AGENCY, Radiological Aspects of Non‑Fixed Contamination of Packages and Conveyances, IAEA‑TECDOC‑1449, IAEA, Vienna (2005). 84",102,file:///private/var/folders/1y/lclhr1bn1_b78zjjhqs572mc0000gn/T/gradio/200a7b0092a9b8794864bb354529c4757d299729811eaa5dfc1d84ab62525afa/PUB2058_web_gsg_18.pdf#page=102,[0. 0. 0. ... 0. 0. 0.]
121,Annex III,Annex III,103,file:///private/var/folders/1y/lclhr1bn1_b78zjjhqs572mc0000gn/T/gradio/200a7b0092a9b8794864bb354529c4757d299729811eaa5dfc1d84ab62525afa/PUB2058_web_gsg_18.pdf#page=103,[0. 0. 0. ... 0. 0. 0.]
122,"EXAMPLES OF ACTIVITY CONCENTRATION VALUES FOR SPECIFIC CLEARANCE III–1. Examples of specific clearance levels in terms of activity concentration that have been derived include those for scrap metal for melting [III–1] and those for buildings for demolition or reuse [III–2, III–3]. Specific clearance levels for disposal of waste in landfill sites have been adopted in Belgium, Germany and the United Kingdom, as described in this annex. This annex also includes an IAEA approach to specific clearance for landfill disposal and an example from the United Kingdom of the clearance of certain liquids. EXAMPLE FROM THE UNITED KINGDOM OF SPECIFIC CLEARANCE OF SOLID WASTE III–2. The conditions relating to specific clearance1 of very low level waste for disposal in landfills in the United Kingdom [III–4] are given Table III–1. 1 In the United Kingdom, specific clearance is called ‘specific (conditional) exemption’ for reasons of continuity of regulatory terminology. 85 TABLE III–1. SPECIFIC CLEARANCE OF VERY LOW LEVEL WASTE FOR DISPOSAL IN LANDFILL SITES IN THE UNITED KINGDOM [III–4] Type of radioactive waste Maximum concentration of radionuclides Maximum quantity of waste to be disposed of per calendar year (Bq/a) Solid radioactive waste, with no single item > 4 × 104 Bq 4 × 105 Bq per 0.1 m3 for the sum of all radionuclides 2 × 108 Solid radioactive waste containing tritium and C-14 only, with no single item > 4 × 105 Bq 4 × 106 Bq of tritium and C-14 per 0.1 m3 2 × 109","EXAMPLES OF ACTIVITY CONCENTRATION VALUES FOR SPECIFIC CLEARANCE III–1.  Examples of specific clearance levels in terms of activity concentration that have been derived include those for scrap metal for melting [III–1] and those for buildings for demolition or reuse [III–2, III–3]. Specific clearance levels for disposal of waste in landfill sites have been adopted in Belgium, Germany and the United Kingdom, as described in this annex. This annex also includes an IAEA approach to specific clearance for landfill disposal and an example from the United Kingdom of the clearance of certain liquids. EXAMPLE FROM THE UNITED KINGDOM OF SPECIFIC CLEARANCE OF SOLID WASTE III–2.  The conditions relating to specific clearance1 of very low level waste for disposal in landfills in the United Kingdom [III–4] are given Table III–1. 1	 In the United Kingdom, specific clearance is called ‘specific (conditional) exemption’ for reasons of continuity of regulatory terminology. 85 TABLE III–1. SPECIFIC CLEARANCE OF VERY LOW LEVEL WASTE FOR DISPOSAL IN LANDFILL SITES IN THE UNITED KINGDOM [III–4] Type of radioactive waste Maximum concentration of radionuclides Maximum quantity of waste to be disposed of per calendar year (Bq/a) Solid radioactive waste, with no single item > 4 × 104 Bq 4 × 105 Bq per 0.1 m3 for the sum of all radionuclides 2 × 108 Solid radioactive waste containing tritium and C-14 only, with no single item > 4 × 105 Bq 4 × 106 Bq of tritium and C-14 per 0.1 m3 2 × 109",103,file:///private/var/folders/1y/lclhr1bn1_b78zjjhqs572mc0000gn/T/gradio/200a7b0092a9b8794864bb354529c4757d299729811eaa5dfc1d84ab62525afa/PUB2058_web_gsg_18.pdf#page=103,[0. 0. 0. ... 0. 0. 0.]
123,"EXAMPLE FROM BELGIUM OF SPECIFIC CLEARANCE OF SOLID WASTE III–3. FBFC International is a nuclear installation situated in Dessel, Belgium. From 1960 until 2012, it produced fuel assemblies of uranium for nuclear power plants. In 2011, it was decided to shut down the installation for economic reasons. III–4. During operation, water was used in contaminated zones as part of the production process and for personnel utilities (washrooms). This contaminated water circulated through underground pipes and was collected in the water treatment building, where it was treated before discharge to the environment. III–5. An initial decommissioning survey identified several leaks in the underground pipes (mostly at the joints between pipes), resulting in deposition of small amounts of uranium in the surrounding soil (mainly sand). In addition, slightly contaminated sand was found in canals outside the facility site due to sedimentation. This sand was brought on the site and was part of the contaminated soil to be disposed of. The total volume of material was estimated to be 8300 m3, with a total mass of 12 000 tonnes. III–6. For generic clearance of soil, a level of 1 Bq/g for Utot (which is the sum of all radioisotopes of uranium) is specified by the Belgian nuclear regulatory body. Measurements of soil samples gave results slightly above this activity concentration. III–7. In accordance with the Belgian regulations, specific clearance is possible based on a licence from the regulatory body. In the licence application, the operating organization has to propose a specific clearance level below the generic exemption level and include a radiological impact study demonstrating that the individual dose criterion of the order of 10 µSv in a year will not be exceeded and that the collective dose will be below 1 person‑Sv in a year. III–8. The operating organization decided to apply for a specific clearance licence and to radiologically sort the sand into three categories, with the final destination based on the activity concentration, as follows: (a) < 1 Bq/g: generic clearance. (b) 1 Bq/g to 10 Bq/g: disposal in conventional landfill. (c) > 10 Bq/g: radioactive waste to be transferred to the Belgian waste management agency. 86","EXAMPLE FROM BELGIUM OF SPECIFIC CLEARANCE OF SOLID WASTE III–3.  FBFC International is a nuclear installation situated in Dessel, Belgium. From 1960 until 2012, it produced fuel assemblies of uranium for nuclear power plants. In 2011, it was decided to shut down the installation for economic reasons. III–4.  During operation, water was used in contaminated zones as part of the production process and for personnel utilities (washrooms). This contaminated water circulated through underground pipes and was collected in the water treatment building, where it was treated before discharge to the environment. III–5.  An initial decommissioning survey identified several leaks in the underground pipes (mostly at the joints between pipes), resulting in deposition of small amounts of uranium in the surrounding soil (mainly sand). In addition, slightly contaminated sand was found in canals outside the facility site due to sedimentation. This sand was brought on the site and was part of the contaminated soil to be disposed of. The total volume of material was estimated to be 8300 m3, with a total mass of 12 000 tonnes. III–6.  For generic clearance of soil, a level of 1 Bq/g for Utot (which is the sum of all radioisotopes of uranium) is specified by the Belgian nuclear regulatory body. Measurements of soil samples gave results slightly above this activity concentration. III–7.  In accordance with the Belgian regulations, specific clearance is possible based on a licence from the regulatory body. In the licence application, the operating organization has to propose a specific clearance level below the generic exemption level and include a radiological impact study demonstrating that the individual dose criterion of the order of 10 µSv in a year will not be exceeded and that the collective dose will be below 1 person‑Sv in a year. III–8.  The operating organization decided to apply for a specific clearance licence and to radiologically sort the sand into three categories, with the final destination based on the activity concentration, as follows: (a) < 1 Bq/g: generic clearance. (b) 1 Bq/g to 10 Bq/g: disposal in conventional landfill. (c) > 10 Bq/g: radioactive waste to be transferred to the Belgian waste management agency. 86",104,file:///private/var/folders/1y/lclhr1bn1_b78zjjhqs572mc0000gn/T/gradio/200a7b0092a9b8794864bb354529c4757d299729811eaa5dfc1d84ab62525afa/PUB2058_web_gsg_18.pdf#page=104,[0. 0. 0. ... 0. 0. 0.]
